,target,source,value
14070,50th Anniversary Gift Committee,Hugh Douglas Hamilton,1
14069,50th Anniversary Gift Committee,Frédéric-Auguste Bartholdi,1
14068,50th Anniversary Gift Committee,Jusepe de Ribera,1
14067,50th Anniversary Gift Committee,Israhel van Meckenem,1
14066,50th Anniversary Gift Committee,Wayne Thiebaud,1
14196,"A. Thompson Ellwanger, III",Richard Earlom,1
14206,"A. Thompson Ellwanger, III",Dr. Robert John Thornton,1
14202,"A. Thompson Ellwanger, III",William Forrest,1
14201,"A. Thompson Ellwanger, III",Sir Edward Coley Burne-Jones,1
14200,"A. Thompson Ellwanger, III",Georg Friedrich Schmidt,1
14193,"A. Thompson Ellwanger, III",William Ward,1
14191,"A. Thompson Ellwanger, III",Jean-Baptiste Hüet,1
14190,"A. Thompson Ellwanger, III",Associated American Artists,1
14189,"A. Thompson Ellwanger, III",Maurice-Quentin de La Tour,1
14188,"A. Thompson Ellwanger, III",Jean-Jacques Henner,1
14186,"A. Thompson Ellwanger, III",François Boucher,2
14185,"A. Thompson Ellwanger, III",Thomas Hart Benton,1
14207,"A. Thompson Ellwanger, III",Louis Bocquet,1
14192,"A. Thompson Ellwanger, III",James E. Allen,2
14208,"A. Thompson Ellwanger, III",M.G. Fuchs,2
14203,"A. Thompson Ellwanger, III",Isaac Cruikshank,2
14199,"A. Thompson Ellwanger, III",William Edgar Marshall,2
14194,"A. Thompson Ellwanger, III",Louis-Marin Bonnet,2
14195,"A. Thompson Ellwanger, III",Gilles Demarteau the Elder,2
14187,"A. Thompson Ellwanger, III",Frederic Edwin Church,1
14209,"A. Thompson Ellwanger, III",Philip Reinagle,1
14205,"A. Thompson Ellwanger, III",Johann Teyler,1
14197,"A. Thompson Ellwanger, III",Jean-Charles François,1
14212,"A. Thompson Ellwanger, III",Day and Son Lithographers,1
14210,"A. Thompson Ellwanger, III",Louis Jean François Lagrenée,1
14198,"A. Thompson Ellwanger, III",Francesco Londonio,7
14204,"A. Thompson Ellwanger, III",Hans Amann,58
14211,"A. Thompson Ellwanger, III",George C. Miller,1
2103,AFL-CIO,Robert Rauschenberg,1
18081,Aaron Fink,Paul Genega,1
18080,Aaron Fink,Aaron Fink,8
12582,Aaron I. Fleischman,Robert Delaunay,1
12591,Aaron I. Fleischman,Elizabeth Murray,1
12585,Aaron I. Fleischman,Charles Sheeler,1
12586,Aaron I. Fleischman,Joseph Stella,1
