,target,source,value
0,Ailsa Mellon Bruce Fund,German 18th Century,5
1,Ailsa Mellon Bruce Fund,Bartholomaeus Spranger,1
2,Ailsa Mellon Bruce Fund,Jean-Jacques de Boissieu,1
3,Ailsa Mellon Bruce Fund,Camillo Procaccini,1
4,Ailsa Mellon Bruce Fund,Guercino,1
5,Ailsa Mellon Bruce Fund,Johann Meyrl,1
6,Ailsa Mellon Bruce Fund,Dominic Artaria,1
7,Ailsa Mellon Bruce Fund,Johann Daniel Herz the Elder,1
8,Ailsa Mellon Bruce Fund,Hendrick Goltzius,2
9,Ailsa Mellon Bruce Fund,John Glover,1
10,Chester Dale,Jean Siméon Chardin,2
11,Chester Dale,American 18th Century,2
12,Chester Dale,Ralph Albert Blakelock,1
13,Chester Dale,Sir Peter Paul Rubens,2
14,Chester Dale,Jacopo Tintoretto,1
15,Chester Dale,Anonymous Flemish 15th Century,2
16,Chester Dale,American 19th Century,3
17,Chester Dale,Thomas Sully,1
18,Chester Dale,William Merritt Chase,1
19,Chester Dale,Francisco de Zurbarán,1
20,Chester Dale,Maarten de Vos,1
21,Chester Dale,Anonymous Artist,4
22,Chester Dale,French 18th Century,1
23,Chester Dale,Willem Kalf,1
24,Chester Dale,Netherlandish 16th Century,1
25,Chester Dale,French 16th Century,1
26,Chester Dale,El Greco,1
27,Chester Dale,François Boucher,1
28,Chester Dale,German 16th Century,1
29,Chester Dale,Louis-Léopold Boilly,1
30,Dr. Toni G. Marcy,Max Liebermann,3
31,Dr. and Mrs. Maclyn E. Wade,Gemini G.E.L.,2
32,Dr. and Mrs. Maclyn E. Wade,Dan Gualdoni,1
33,Dr. and Mrs. Maclyn E. Wade,John Dill,1
34,Dr. and Mrs. Maclyn E. Wade,Josef Albers,2
35,Frederic A. Delano,Charles Loring Elliott,1
36,J.H. Whittemore Company,James McNeill Whistler,2
37,Joseph E. Widener,François Joullain,1
38,Joseph E. Widener,Simon Charles Miger,7
39,Joseph E. Widener,Jean Joseph Bastier de Bez,1
40,Joseph E. Widener,Francoise Basset,1
41,Joseph E. Widener,Florian,7
42,Joseph E. Widener,Jacques-Andre-Joseph-Camelot Aved,1
43,Joseph E. Widener,Juste Chevillet,7
44,Joseph E. Widener,Etienne Aubry,1
45,Joseph E. Widener,Angélique Allais,1
46,Joseph E. Widener,Louis Petit,7
47,Joseph E. Widener,Jean-Joseph Bernard called Bernard de Paris,1
48,Joseph E. Widener,Charles Michel-Ange Challe,1
49,Joseph E. Widener,Jean-Baptiste Delafosse,1
50,Joseph E. Widener,Sir Godfrey Kneller,1
51,Joseph E. Widener,Francesco Casanova,1
52,Joseph E. Widener,Jean-Baptiste-Michel Dupreel,7
53,Joseph E. Widener,Nicolas Andre Monsiau,4
54,Joseph E. Widener,Augustus Charles Pugin,4
55,Joseph E. Widener,Gilles Demarteau the Elder,1
56,Joseph E. Widener,Charles François Adrien Macret,4
57,Joseph E. Widener,Pierre Maleuvre,4
58,Joseph E. Widener,Molière,7
59,Joseph E. Widener,Dominique Sornique,7
60,Joseph E. Widener,Jacques Nicolas Tardieu,1
61,Joseph E. Widener,vicomte Charles Henri Desfosses,1
62,Joseph E. Widener,Govaert Flinck,1
63,Joseph E. Widener,Lefèvre,8
64,Joseph E. Widener,Michel-Victor Dassier,1
