,id,sum,group
0,Lessing Julius Rosenwald,30896,1
1,United States Government,18808,1
2,Ailsa Mellon Bruce Fund,12613,1
3,Corcoran Gallery of Art,11137,1
4,Patrons' Permanent Fund,8727,1
5,Gemini G.E.L.,7168,1
6,Dave H. and Reba W. Williams,5547,1
7,Robert Frank,4819,1
8,Kathan Brown,4782,1
9,Joseph E. Widener,4617,1
10,Mr. and Mrs. Benjamin B. Smith,4142,1
11,Samuel H. Kress Foundation,2870,1
12,Mrs. Jacob Kainen,2106,1
13,Glenstone,2057,1
14,Richard S. Zeisler,2022,1
15,Mr. and Mrs. John Pappajohn,2011,1
16,Mr. and Mrs. Roger Sant,2007,1
17,Pepita Milmore Memorial Fund,1883,1
18,Dr. and Mrs. William H. Gerdts,1755,1
19,Georgia O'Keeffe,1706,1
20,Dan and Mary Solomon,1623,1
21,William B. O'Neal Fund,1618,1
22,Graphicstudio,1562,1
23,Paul Mellon,1477,1
24,Anonymous,1382,1
25,Millard Acquisition Fund,1376,1
26,Collectors Committee,1365,1
27,Phyllis Diebenkorn,1261,1
28,Robert Stana and Thomas Judy,1166,1
29,"The Mark Rothko Foundation, Inc.",1126,1
30,Rudolf L. Baumfeld,1110,1
31,New Century Fund,1041,1
32,Mrs. Max Beckmann,1036,1
33,Dr. Ira Jackson,1001,1
34,David K.E. Bruce Fund,964,1
35,Mr. and Mrs. Herbert Vogel,921,1
36,Avalon Fund,885,1
37,Benjamin B. Smith,882,1
38,Mrs. Walter B. James,870,1
39,Andrew W. Mellon Fund,824,1
40,Eugene L. and Marie-Louise Garbáty Fund,760,1
41,Florian Carr Fund,691,1
42,Katharine Shepard Fund,691,1
43,Professor William B. O'Neal,660,1
44,Mrs. Robert A. Hauslohner,647,1
45,Rosenwald Print Purchase Fund,616,1
46,"John C. Marin, Jr.",599,1
47,Mr. and Mrs. Lee Fensterstock,576,1
48,"Gerhard E. Pinkus and Marianne Pinkus Trustees of the Community Trust created under the Gerhard E. Pinkus and Marianne Pinkus inter, vivos Trust Agreement, dated 10/28/97",565,1
49,The Ahmanson Foundation,564,1
50,University of South Florida Foundation,563,1
51,Mrs. Louis Lozowick,563,1
52,George Matthew Adams,527,1
53,Mr. John O'Brien,507,1
54,Mr. Vincent J. Buonanno,499,1
55,Ruth and Jacob Kainen Memorial Acquisition Fund,488,1
56,Jacob Kainen,488,1
57,Gary S. Davis,483,1
58,Mr. Arthur E. Vershbow,461,1
59,David H. McDonnell,458,1
60,Woodward Foundation,455,1
61,Mr. and Mrs. Edgar William Garbisch,440,1
62,Mrs. Lessing J. Rosenwald,436,1
63,Binding Stiftung,435,1
64,Estate of Frank Crowninshield,431,1
65,June Wayne,407,1
66,Paul Mellon Fund,404,1
67,Mrs. Sally Avery,390,1
68,Lisa Baskin,388,1
69,The A.W. Mellon Educational and Charitable Trust,374,1
70,The Honorable Robert H. Thayer,368,1
71,Joseph F. McCrindle,366,1
72,Mr. W.G. Russell Allen,362,1
73,Roy Lichtenstein,360,1
74,Alfred H. Moses and Fern M. Schad Fund,360,1
75,Chester Dale,342,1
76,Joshua P. Smith,339,1
77,Gerald Cerny,334,1
78,Mrs. Norma B. Marin,330,1
79,Estate of Professor Leo Steinberg,329,1
80,Mr. Cornelius Van Schaak Roosevelt,324,1
81,Mrs. Addie Burr Clark,321,1
82,Dr. and Mrs. George Benjamin Green,320,1
83,Beth Callahan,318,1
84,Estate of Professor William B. O'Neal,314,1
85,Mr. Neal Turtell,305,1
86,William Robertson Coe,303,1
87,"Mr. John Davis Hatch, Jr.",281,1
88,Michael and Jane Wilson,277,1
89,Mr. and Mrs. Jacques Z. Baruch,275,1
90,Evelyn Stefansson Nef,263,1
91,Ms. Judy Norrell,252,1
92,Anthony Podesta,250,1
93,Roy Lichtenstein Foundation,249,1
94,Mr. and Mrs. Martin Atlas,243,1
95,Jay Finkel,239,1
96,Robert Jackson,237,1
97,Stephen G. Stein,237,1
98,Frank Anderson Trapp,231,1
99,Dr. and Mrs. Maclyn E. Wade,229,1
100,Christopher With,217,1
101,Ingrid Rose,216,1
102,Frank Lobdell Trust,215,1
103,Dr. Toni G. Marcy,215,1
104,Crown Point Press,213,1
105,Robert Menschel and the Vital Projects Fund,212,1
106,Mr. and Mrs. Werner H. Kramarsky,208,1
107,Dr. Pat Kennedy,205,1
108,Professor Thomas Vogler,201,1
109,Heather and Tony Podesta,199,1
110,Estate of John Nichols Estabrook,196,1
111,Mrs. Ailsa Mellon Bruce,190,1
112,The Morris and Gwendolyn Cafritz Foundation,189,1
