,id,sum,group
0,Lessing Julius Rosenwald,10166,1
1,Joseph E. Widener,3506,1
2,United States Government,3202,1
3,Samuel H. Kress Foundation,65,1
4,Mr. and Mrs. J. Watson Webb,37,1
5,Kimbell Art Museum,36,1
6,Chester Dale,29,1
7,Ailsa Mellon Bruce Fund,15,1
8,The Australian Legal Group,11,1
9,Mr. and Mrs. Christopher Middendorf,9,1
10,Mr. and Mrs. Jem Hom,9,1
11,Mrs. George Nichols,8,1
12,Dr. and Mrs. Maclyn E. Wade,6,1
13,Mrs. Ralph Harman Booth,5,1
14,Dr. Toni G. Marcy,3,1
15,J.H. Whittemore Company,2,1
16,Mr. Clarence Van Dyke Tiers,2,1
17,Mr. and Mrs. Jacob Kainen,2,1
18,The Leger Galleries Ltd.,1,1
19,The Armand Hammer Foundation,1,1
20,"Smithsonian Institution, Resident Associate Program",1,1
21,Mrs. Jesse Isidor Straus,1,1
22,Patrons' Permanent Fund,1,1
23,Mrs. Robert B. Noyes,1,1
24,Mr. Albert Lewin,1,1
25,Frederic A. Delano,1,1
26,Mr. J. Russell Lowe,1,1
27,Mr. Ivan E. Phillips,1,1
28,Washington Print Club,1,1
29,Jean Démosthène Dugourc,1,2
30,Harvey Thoss,1,2
31,Hellenistic 2nd Century B.C./1st Century A.D.,1,2
32,Hendrik Gerritsz Pot,1,2
33,Hendrik J. van Craenhals,1,2
34,Richard Houston,1,2
35,Richard Floethe,1,2
36,Henri Simon Thomassin,1,2
37,Henry Corbould,1,2
38,Henry Meyer,1,2
39,Henry Moran,1,2
40,Henry Murphy,1,2
41,Henry Pelham,1,2
42,Richard Brookshaw,1,2
43,Henry Wolf,1,2
44,Rhenish 15th Century,1,2
45,Hercules Seghers,1,2
46,Herman Bader,1,2
47,Herman Schulze,1,2
48,Hermann Marx,1,2
49,Hester Duany,1,2
50,Hollmana,1,2
51,Howard Cook,1,2
52,Raymond Neumann,1,2
53,Hubbell McBride,1,2
54,Raphael Sadeler I,1,2
55,Harriette Gale,1,2
56,Harold Weisenborn,1,2
57,Harley Kempter,1,2
58,Hans Woutneel,1,2
59,Mona Brown,1,2
60,Giuseppe Nicolo Vicentino,1,2
61,Giuseppe Scolari,1,2
62,Giuseppi Filippo Liberati Marchi,1,2
63,Robert van Voerst,1,2
64,Gladys M. Guillaudeu,1,2
65,Robert Tardiff,1,2
66,Robert T. Gills,1,2
67,Gottfried Eichler the Younger,1,2
68,Govaert Flinck,1,2
69,Robert N. Taylor,1,2
70,Guercino,1,2
71,Inez McCombs,1,2
72,Guillaume Voiriot,1,2
73,Guillaume-Philippe Benoist,1,2
74,H.C. Dickins,1,2
75,Robert Juniper,1,2
76,Robert Hart,1,2
77,Robert Graves,1,2
78,Robert Gilson,1,2
79,Robert Gibbings,1,2
80,Robert Fulton Logan,1,2
81,Robert Dunthorne,1,2
82,Hans Sporer,1,2
83,Hans Süss von Kulmbach,1,2
84,Hans Vischer,1,2
85,Guillaume-Francois-Roger Molé,1,2
86,Randolph F. Miller,1,2
87,Randolph Atkinson,1,2
88,Isaac Oliver,1,2
89,Pietro Testa,1,2
90,Jacques-Philippe Caresme,1,2
91,James Dwyer,1,2
92,James E. Allen,1,2
93,Pieter van Sompel,1,2
94,Pieter van Mol,1,2
95,James Wallace Orr,1,2
96,Jan Gossaert,1,2
97,Jan Lutma II,1,2
98,Pieter de Jode I,1,2
99,Jan Rombouts the Elder,1,2
100,Jan Senbergs,1,2
101,Jacques-Guillaume Legrand,1,2
102,Jan Wellens de Cock,1,2
103,Jan van Aken,1,2
104,Pieter Stevens van Gunst,1,2
