,id,sum
0,donor_Lessing Julius Rosenwald,30896
1,donor_United States Government,18808
2,donor_Ailsa Mellon Bruce Fund,12613
3,donor_Corcoran Gallery of Art,11137
4,donor_Patrons' Permanent Fund,8727
5,donor_Gemini G.E.L.,7168
6,donor_Dave H. and Reba W. Williams,5547
7,donor_Robert Frank,4819
8,donor_Kathan Brown,4782
9,donor_Joseph E. Widener,4617
10,donor_Mr. and Mrs. Benjamin B. Smith,4142
11,donor_Samuel H. Kress Foundation,2870
12,donor_Mrs. Jacob Kainen,2106
13,donor_Glenstone,2057
14,artist_James McBey,287
15,"artist_Jean-Claude-Richard, Abbé de Saint-Non",292
16,artist_Muirhead Bone,308
17,artist_Albrecht Dürer,314
18,artist_Rembrandt van Rijn,316
19,artist_Dena Schuckit,352
20,artist_Jean-Louis Forain,449
21,artist_German 15th Century,450
22,artist_Lee Friedlander,460
23,artist_David Young Cameron,465
24,artist_Unknown 19th Century,493
25,artist_Universal Limited Art Editions,495
26,artist_James McNeill Whistler,502
27,artist_Jacob Kainen,542
28,artist_Jacques Callot,575
29,artist_American 20th Century,694
30,artist_Eadweard Muybridge,695
31,artist_Charles B. J. Févret de Saint-Mémin,903
32,artist_Thomas Rowlandson,1219
33,artist_Crown Point Press,1490
34,artist_Gemini G.E.L.,1925
35,artist_Tamarind Institute,1980
36,artist_Jasper Johns,2219
37,artist_Honoré Daumier,2242
38,artist_Paul Gavarni,3130
39,artist_Robert Frank,4799
